attraction_id,name,rating,address,opening_hours,description,nearby_attractions,level
1,"雅鲁藏布大峡谷",4.6,"西藏自治区林芝市米林市派镇",N/A,"雅鲁藏布大峡谷是围绕南迦巴瓦峰的一处马蹄形大峡谷，也是世界大峡谷。谷内风光多种多样，可以观看南迦巴瓦、雅江尼洋河、古老村落等等。入围《中国国家地理》中国峡谷评选，吸引着众多游客们前来观赏。 雅鲁藏布大峡谷目前有部分向游客开放，景区内需要乘坐景区运营的车船工具，所以购买套票会比较方便。","[{'name': '南迦巴瓦露营地', 'distance': '直线距离<100m'}, {'name': '玉松岛南迦巴瓦观山文化社区', 'distance': '直线距离<100m'}, {'name': '南迦巴瓦观山台', 'distance': '直线距离<100m'}, {'name': '直白村', 'distance': '直线距离961m'}, {'name': '大渡卡遗址', 'distance': '直线距离981m'}, {'name': '扎西德勒农庄', 'distance': '直线距离982m'}, {'name': '雅鲁藏布大峡谷风景区第四景点', 'distance': '直线距离1.5km'}, {'name': '雅鲁藏布大峡谷', 'distance': '登高爬山'}, {'name': '南迦巴瓦峰', 'distance': '赏花胜地'}, {'name': '索松村', 'distance': '赏花胜地'}, {'name': '佛掌沙丘', 'distance': '地标观景'}, {'name': '南迦巴瓦观山台', 'distance': '地标观景'}, {'name': '南迦巴瓦峰大本营露营地', 'distance': '露营·营地'}, {'name': '南伊沟', 'distance': '自然山水'}]",5
2,"南迦巴瓦峰",4.5,"西藏自治区林芝市米林县西藏林","全年全天开放","南迦巴瓦峰位于林芝地区，是全球海拔排名第15的高峰。这里山顶冰川高耸、形状俏丽，山间常有云雾缭绕，而山下则是植被茂密的藏区江南，景色优美。 欣赏南迦巴瓦峰的时间是每年的4-10月，此时气候合适，山下绿树成荫，山间云雾飘荡，景色宜人。不过，这时候也经常会有阴雨天气，可能会看不到雪峰的全貌。事实上，有人统计南迦巴瓦全部显现的日期每年平均仅有65天，所以也要做好看不到的心理准备。 南迦巴瓦峰有几个主要的观赏地点，分别是雅鲁藏布大峡谷景区的观景台、直白村、色季拉山口、索松村等，雅鲁藏布大峡谷景区观景台和直白村都可以乘坐雅江大峡谷景区的观光车前往，这里视野比较开阔，游人也比较多。色季拉山口处可以看到雪山脚下的鲁朗林海，景色比较丰富。索松村比较淳朴，正对雪山，这里每年春天会有桃花开放，拍摄花朵掩映下的皑皑雪峰，也深受众多摄影师的喜爱。","[{'name': '南迦巴瓦峰大本营露营地', 'distance': '直线距离9.7km'}, {'name': '雅鲁藏布大峡谷', 'distance': '直线距离11.5km'}, {'name': '南迦巴瓦露营地', 'distance': '直线距离11.5km'}, {'name': '玉松岛南迦巴瓦观山文化社区', 'distance': '直线距离11.5km'}, {'name': '南迦巴瓦观山台', 'distance': '直线距离11.6km'}, {'name': '直白村', 'distance': '直线距离11.8km'}, {'name': '大渡卡遗址', 'distance': '直线距离11.9km'}, {'name': '雅鲁藏布大峡谷', 'distance': '登高爬山'}, {'name': '南迦巴瓦峰', 'distance': '赏花胜地'}, {'name': '索松村', 'distance': '赏花胜地'}, {'name': '佛掌沙丘', 'distance': '地标观景'}, {'name': '南迦巴瓦观山台', 'distance': '地标观景'}, {'name': '南迦巴瓦峰大本营露营地', 'distance': '露营·营地'}, {'name': '南伊沟', 'distance': '自然山水'}]",N/A
3,"巴松措",4.6,"西藏自治区林芝市工布江达县错高乡",N/A,"巴松措位于林芝工布江达县，是藏传佛教红教的著名神湖，宗教地位很高。湖水碧绿柔美，周围青山依依，风景非常不错。湖心岛上的错宗工巴寺历史悠久，有特别的雕塑和建筑，也是祈福的圣地。 巴松措景区旅游开发比较成熟，是西藏比较老牌的景区。进入景区后，需要乘坐观光车游玩，路上一般会停留三个点，分别是湖心岛旁、观景台和结巴村。另外，景区内还有游艇可以游湖，大约需要另外付费100元左右。 湖心岛可以通过建设在湖面上的步行栈道登岛，岛上的措宗贡巴寺建于唐代末年，岛上的礁石均雕刻成了别致的动物形象以及佛像，特别神奇。观景台离湖心岛不远，这里角度稍高，可以俯瞰湖水和小岛，巴松措经典机位就是出自这里。结巴村是湖边一处安静的村落，由于游玩巴松措的很多旅游团都不会在此停留，反而成就了这里的宁静悠然，村庄颇有些瑞士小镇的风貌，十分不错。","[{'name': '扎西岛', 'distance': '直线距离<100m'}, {'name': '巴松措▪喜玛拉雅轻奢露营地', 'distance': '直线距离505m'}, {'name': '巴松措星空户外泡泡帐篷营地', 'distance': '直线距离567m'}, {'name': '松赞巴松措林卡', 'distance': '直线距离1.0km'}, {'name': '结巴村', 'distance': '直线距离1.4km'}, {'name': '结布民俗村观光亭', 'distance': '直线距离1.7km'}, {'name': '卡巴拉日', 'distance': '直线距离4.4km'}, {'name': '巴松措', 'distance': '自然山水'}, {'name': '新措', 'distance': '自然山水'}, {'name': '米拉山口', 'distance': '登高爬山'}, {'name': '结巴村', 'distance': '古镇古村'}, {'name': '巴松措环湖游船', 'distance': '乘船游览'}, {'name': '林拉公路', 'distance': '城市漫步'}, {'name': '尼洋河', 'distance': '登高爬山'}]",5
4,"索松村",4.5,"西藏自治区林芝市米林市雅鲁藏布大峡谷","全年全天开放",N/A,"[{'name': '索松村洛桑文历博物馆', 'distance': '直线距离<100m'}, {'name': '林芝小橘子露营地', 'distance': '直线距离200m'}, {'name': '三座雪山观景台', 'distance': '直线距离1.6km'}, {'name': '玉松村', 'distance': '直线距离1.9km'}, {'name': '千年桑树', 'distance': '直线距离2.0km'}, {'name': '雅鲁藏布大峡谷热气球飞行营地', 'distance': '直线距离2.2km'}, {'name': '田园风光栈道', 'distance': '直线距离2.5km'}, {'name': '雅鲁藏布大峡谷', 'distance': '登高爬山'}, {'name': '南迦巴瓦峰', 'distance': '赏花胜地'}, {'name': '索松村', 'distance': '赏花胜地'}, {'name': '佛掌沙丘', 'distance': '地标观景'}, {'name': '南迦巴瓦观山台', 'distance': '地标观景'}, {'name': '南迦巴瓦峰大本营露营地', 'distance': '露营·营地'}, {'name': '南伊沟', 'distance': '自然山水'}]",N/A
5,"措木及日",4.6,"西藏自治区林芝市巴宜区措木吉日路","淡季 09:30-16:00开放,旺季 08:30-18:00开放",N/A,"[{'name': '情人松', 'distance': '直线距离834m'}, {'name': '西藏民俗第一村', 'distance': '直线距离4.9km'}, {'name': '千年核桃王景区', 'distance': '直线距离4.9km'}, {'name': '篝火广场', 'distance': '直线距离4.9km'}, {'name': '平安淋浴洗浴中心', 'distance': '直线距离5.4km'}, {'name': '渝康养生馆', 'distance': '直线距离5.7km'}, {'name': '林芝市八一中学-海洋图书馆', 'distance': '直线距离5.8km'}, {'name': '巴松措', 'distance': '自然山水'}, {'name': '雅鲁藏布大峡谷', 'distance': '登高爬山'}, {'name': '南迦巴瓦峰', 'distance': '赏花胜地'}, {'name': '索松村', 'distance': '赏花胜地'}, {'name': '卡定沟景区', 'distance': '自然山水'}, {'name': '措木及日', 'distance': '自然山水'}, {'name': '鲁朗林海', 'distance': '踏青必去'}]",N/A
6,"鲁朗林海",4.5,"西藏自治区林芝市巴宜区鲁朗镇318国道",N/A,"鲁朗林海位于八一镇北侧的鲁朗镇，这里有依山连绵的大片碧绿森林，树木以垂直的云杉和松树为主，景色非常清新优美，也是拍摄大片的好地方。 鲁朗林海面积很大，参观拍摄可以进入景区内部，也可以在318国道上的观景台。甚至只要开车在318国道上经过鲁朗镇时，不进观景台也能看到大片的森林。","[{'name': '鲁朗林海第一观景台', 'distance': '直线距离121m'}, {'name': '色季拉山口', 'distance': '直线距离4.4km'}, {'name': '色季拉山观景台', 'distance': '直线距离4.5km'}, {'name': '色季拉山', 'distance': '直线距离4.6km'}, {'name': '鲁朗花海牧场', 'distance': '直线距离5.1km'}, {'name': '田园风光观景台', 'distance': '直线距离7.2km'}, {'name': '楚什列古', 'distance': '直线距离9.0km'}, {'name': '巴松措', 'distance': '自然山水'}, {'name': '雅鲁藏布大峡谷', 'distance': '登高爬山'}, {'name': '南迦巴瓦峰', 'distance': '赏花胜地'}, {'name': '索松村', 'distance': '赏花胜地'}, {'name': '卡定沟景区', 'distance': '自然山水'}, {'name': '措木及日', 'distance': '自然山水'}, {'name': '鲁朗林海', 'distance': '踏青必去'}]",4
7,"米堆冰川",4.1,"西藏自治区林芝市波密县",N/A,"米堆冰川位于林芝地区波密县玉普乡米美、米堆两村附近，距离318国道仅8公里，抵达为特别方便，由于冰舌海拔较低，可以轻易地近距离观赏。米堆冰川形状俊秀，被《中国国家地理》评为六大较美冰川之一。 要观看米堆冰川，首先要到达脚下的米堆村，售票处距离米堆村大约6-7公里，这一段路路况很差，小轿车不建议开入，需要有底盘较高的车行驶。从米堆村前往观景台可以步行，不过距离较长，大约2.5公里，需要45分钟左右，也可以骑马，往返大约需要付100元。到达观景台后，即可看到开阔的冰川在面前展开，非常壮观。","[{'name': '米堆村', 'distance': '直线距离240m'}, {'name': '米堆冰川景区观景台', 'distance': '直线距离1.4km'}, {'name': '光谢错', 'distance': '直线距离1.9km'}, {'name': '觉玛郎阁', 'distance': '直线距离9.0km'}, {'name': '318彩虹冲水打卡地', 'distance': '直线距离13.6km'}, {'name': '各布错', 'distance': '直线距离15.0km'}, {'name': '那穷拉卡', 'distance': '直线距离16.0km'}, {'name': '米堆冰川', 'distance': '自然山水'}, {'name': '岗云杉林', 'distance': '踏青必去'}, {'name': '波密桃花沟', 'distance': '赏花胜地'}, {'name': '嘎瓦龙景区', 'distance': '登高爬山'}, {'name': '古乡湖景区', 'distance': '登高爬山'}, {'name': '通麦大桥', 'distance': '地标观景'}, {'name': '通麦天险', 'distance': '城市漫步'}]",4
8,"世界柏树王园林",4.4,"林芝市巴宜区到尼洋河中下游一带",N/A,"景区位于林芝市巴宜区巴吉村，距离市政府驻地6公里，是离市区最近的“森林氧吧”，平均海拔在3000～3200米之间，属于温带湿润季风气候，全年雨量充沛、日照充足，冬季温和干燥，夏季湿润无高温，年平均气温8.5℃，气候宜人。 景区内众多的巨柏树也称“雅鲁藏布江柏木”，藏语称为“拉辛秀巴”意指神树。其中的一棵巨柏树高57米，胸径5.8米，需十几个成年人合围才能将其抱住，树龄距今有3200多年，被誉为“活的文物”“世界柏树王”。2019年这株巨柏被世界认证机构审核确认为“界树龄最长的巨柏”。 世界柏树王园林景区是当地藏族群众心目中的圣地，相传古柏树群由苯教祖师顿巴辛饶·米沃切的头发幻化而来，其中被认证的“世界柏树王”为顿巴辛饶·米沃切生命之树、灵魂之树的代表。","[{'name': '林芝巴结巨柏自然保护区', 'distance': '直线距离<100m'}, {'name': '于麦观景台', 'distance': '直线距离551m'}, {'name': '娘乳岗景区', 'distance': '直线距离1.5km'}, {'name': '工布藏族民居', 'distance': '直线距离1.5km'}, {'name': '尼洋阁藏东南文化博览园', 'distance': '直线距离1.7km'}, {'name': '尼洋时光户外露营公园', 'distance': '直线距离1.8km'}, {'name': '藏东南文化遗产博物馆', 'distance': '直线距离1.9km'}, {'name': '巴松措', 'distance': '自然山水'}, {'name': '雅鲁藏布大峡谷', 'distance': '登高爬山'}, {'name': '南迦巴瓦峰', 'distance': '赏花胜地'}, {'name': '索松村', 'distance': '赏花胜地'}, {'name': '卡定沟景区', 'distance': '自然山水'}, {'name': '措木及日', 'distance': '自然山水'}, {'name': '鲁朗林海', 'distance': '踏青必去'}]",4
9,"佛掌沙丘",4.3,"林芝市米林县丹娘乡雅鲁藏布江畔","全年全天开放","佛掌沙丘位于米林县丹娘乡的雅鲁藏布江北岸，是一片伫立在河边的佛掌形状的沙丘，非常奇特，适合在对岸拍照。而且观赏沙丘免费，观景台就在路边，还有公共厕所，所以一般游客路过此地时都会下车来看看。","[{'name': '佛掌沙丘沙滩车ATV俱乐部', 'distance': '直线距离803m'}, {'name': '丹娘乡沙丘旅游景区', 'distance': '直线距离1.9km'}, {'name': '下拉村', 'distance': '直线距离6.3km'}, {'name': '祏峧岗', 'distance': '直线距离6.4km'}, {'name': '格嘎普', 'distance': '直线距离8.8km'}, {'name': '鲁霞普曲', 'distance': '直线距离9.2km'}, {'name': '德木寺', 'distance': '直线距离10.9km'}, {'name': '雅鲁藏布大峡谷', 'distance': '登高爬山'}, {'name': '南迦巴瓦峰', 'distance': '赏花胜地'}, {'name': '索松村', 'distance': '赏花胜地'}, {'name': '佛掌沙丘', 'distance': '地标观景'}, {'name': '南迦巴瓦观山台', 'distance': '地标观景'}, {'name': '南迦巴瓦峰大本营露营地', 'distance': '露营·营地'}, {'name': '南伊沟', 'distance': '自然山水'}]",N/A
10,"西藏雅尼国家湿地公园",0.0,"西藏自治区林芝市巴宜区",N/A,"西藏雅尼国家湿地位于中国西藏自治区，是一处自然保护区和重要的湿地生态系统。这片湿地被誉为“高原明珠”，拥有广阔的湖泊、沼泽和湿地草原。雅尼国家湿地是珍稀鸟类的栖息地，吸引了大量候鸟和迁徙鸟类。这里的生态环境保持良好，是保护野生动植物和生态平衡的重要区域。游客可以在湿地中观赏到壮丽的自然景观，感受到宁静与宜人的氛围。","[{'name': '姆多花港', 'distance': '直线距离3.2km'}, {'name': '曲觉拉康', 'distance': '直线距离4.3km'}, {'name': '阿马力炯', 'distance': '直线距离4.4km'}, {'name': '两江汇流处', 'distance': '直线距离4.5km'}, {'name': '苯日景区', 'distance': '直线距离5.0km'}, {'name': '雅尼玻璃观景台', 'distance': '直线距离5.0km'}, {'name': '曲努帮布', 'distance': '直线距离5.6km'}, {'name': '巴松措', 'distance': '自然山水'}, {'name': '雅鲁藏布大峡谷', 'distance': '登高爬山'}, {'name': '南迦巴瓦峰', 'distance': '赏花胜地'}, {'name': '索松村', 'distance': '赏花胜地'}, {'name': '卡定沟景区', 'distance': '自然山水'}, {'name': '措木及日', 'distance': '自然山水'}, {'name': '鲁朗林海', 'distance': '踏青必去'}]",N/A
